League,Season,League_Position,Team,Points,W,D,L,GF,GA
Serie A,2016-2017,10,Sampdoria,48,12,12,14,49,55
Serie A,2016-2017,11,Cagliari,47,14,5,19,55,76
Serie A,2016-2017,12,Sassuolo,46,13,7,18,58,63
Serie A,2016-2017,13,Udinese,45,12,9,17,47,56
Serie A,2016-2017,14,Chievo Verona,43,12,7,19,43,61
Serie A,2016-2017,15,Bologna,41,11,8,19,40,58
Serie A,2016-2017,16,Genoa,36,9,9,20,38,64
Serie A,2016-2017,17,Crotone,34,9,7,22,34,58
Serie A,2016-2017,18,Empoli,32,8,8,22,29,61
Serie A,2016-2017,19,Palermo,26,6,8,24,33,77
Serie A,2016-2017,20,Pescara,18,3,9,26,37,81
