League,Season,League_Position,Team,Points,W,D,L,GF,GA
Premier League,2023-2024,20,Sheffield United,16,3,7,28,35,104
Serie A,2023-2024,1,Internazionale,94,29,7,2,89,22
Serie A,2023-2024,2,AC Milan,75,22,9,7,76,49
Serie A,2023-2024,3,Juventus,71,19,14,5,54,31
Serie A,2023-2024,4,Atalanta,69,21,6,11,72,42
Serie A,2023-2024,5,Bologna,68,18,14,6,54,32
Serie A,2023-2024,6,AS Roma,63,18,9,11,65,46
Serie A,2023-2024,7,Lazio,61,18,7,13,49,39
Serie A,2023-2024,8,Fiorentina,60,17,9,12,61,46
Serie A,2023-2024,9,Torino,53,13,14,11,36,36
Serie A,2023-2024,10,Napoli,53,13,14,11,55,48
Serie A,2023-2024,11,Genoa,49,12,13,13,45,45
Serie A,2023-2024,12,Monza,45,11,12,15,39,51
Serie A,2023-2024,13,Hellas Verona,38,9,11,18,38,51
Serie A,2023-2024,14,Lecce,38,8,14,16,32,54
Serie A,2023-2024,15,Udinese,37,6,19,13,37,53
Serie A,2023-2024,16,Cagliari,36,8,12,18,42,68
Serie A,2023-2024,17,Empoli,36,9,9,20,29,54
Serie A,2023-2024,18,Frosinone,35,8,11,19,44,69
Serie A,2023-2024,19,Sassuolo,30,7,9,22,43,75
Serie A,2023-2024,20,Salernitana,17,2,11,25,32,81
